context1	context2	label
Gainontzeko anai ‐ arrebak bezala ( bost bizirik eta beste hiru hilak ), Teodoro Godofredo Hernandorena Barandiaran ( Godo adiskide minentzat ) Zizurkilgo udaletxean jaio zen 1898 an ,  <word>Espainiak</word> Kuba galdu zuen urte berean . ("“ Hauek ez ziren Zizurkil batean jartzeko izenak !”", zioen berak ).	Hinckley 's other son , Clark , has also served in several church leadership positions , including stake president , as president of the church 's  <word>Spain</word> Barcelona Mission ( 2009 to 2012 ) , and since from 2015 to 2018 , he was the first president of the Tijuana Mexico Temple .	T
Mugaz bestaldean , Alemaniako Errepublika Demokratikoan hauteskunderik gabeko gobernua osatu zen , ekonomia planifikatua zuela .  <word>Ekialdeko</word> estaturik aberatsena eta aurreratuena bazen ere , mendebaldeko askatasun politikoak eta oparotasun ekonomikoa ez zeuzkaten , eta ekialdeko alemaniar ugarik alde egin zuten mendebaldeko Berlinera .	Previously considered edible and eaten widely in  <word>Eastern</word> and Central Europe , it has since been found to be dangerously poisonous , after being responsible for the death of German mycologist Julius Schäffer in 1944 .	T
Orokorrean , uhandre marmolaire helduak gauez elikatzen dira . Sasoi - lehortarrean zehar  <word>kilker</word> rak , arrak , lur - zizare ak , bareak , armiarma k , euliak ... jaten dituzte . Aldiz , ugal - sasoian zehar krustazeo txikiak , intsektu urtarrak ... jaten dituzte .	Notable birds include blackcap s , mute swan s , kingfisher s , goosander s and in summer , sand martin s , whilst teal often over-winter here . There are also a great many insects , including the rare club-tailed dragonfly , banded demoiselle damselflies and white-legged damselflies , plus a range of butterflies , hoverflies and  <word>crickets</word> .	T
Muga hauen barruan sortzen den eskualdeak Mungiaz gain ,  <word>Arrieta</word> , Gamiz - Fika , Gatika , Laukiz , Jatabe , Meñaka , Fruiz eta Bakio udalerriak ditu . Orain gutxira arte , Mungiak beste herri batzuek legez , bazituen ondoko udalerrietan hainbat barruti .	It was filmed in Bilbao , Bakio , Santurce , Okondo , Getaria , Gipuzkoa and  <word>Arrieta</word> , in the Basque region of Spain . The city of Bilbao gave the film a neo-noir look with a post modern-twist .	T
Hasiera batean , Hayes Estatu Batuetako Presidentea bezalako pertsona ospetsu batzuek , erabilgarritasun handirik ikusten ez zioten arren . Beste batzuek ,  <word>Victoria</word> erreginak adibidez , interes handia agertu zuten telefonoan . Egia esan , telefonoak arrakasta handia izan zuen .	Anson served as private secretary to Prince Albert , and was frequently employed on diplomatic missions for the Prince . He was married to the Honourable Georgiana Mary Harbord , who was a Woman of the Bedchamber to the  <word>Queen</word> and sister of Edward , Third Lord Suffield . Anson died at age 37 in Barton-under-Needwood , Staffordshire .	T
Azpeitiko parrokiak , Soreasuko San Sebastian , bere patroiaren omenezko ospakizun erlijiosoa izaten du urtarrilaren 20 eguerdi an . Meza nagusia bandarekin eta bi danborrada talderekin (  <word>danbor</word> eta barrikak ) ospatzen da parrokia barruan . Meza hasi aurretik , parroki barruan , San Sebastian Martxa jotzen dute .	The band was named after the daughter of Shannon Hoon , the lead vocalist of Blind Melon at the time . The initial members were Ji Geng ( Bass ) , Zhang Peidong (  <word>Drum</word> ) , and Dong Yaqian ( Guitar and lead vocalist ) . They considered of writing lyrics in English at first.In 2000 , Dong Yaqian suffered a serious depression after his childhood friend and classmate , Ji Geng went to the south of China for further study .	T
Zamora eta Coruña lotzen duen linearen barruan dago . Redondela rekin (  <word>Pontevedra</word> ) lotuta dago halaber . 2013 ko uztail ean , bestela , geltoki honetatik 2 km - tara gertatu zen Galiziako tren istripurik larriena , 80 pertsona hil zirenean .	The Statute provided for the four provinces in Galicia — A Coruña , Lugo , Ourense and  <word>Pontevedra</word> —to be established as multi-member districts in the Parliament of Galicia , with this regulation being maintained under the 1985 regional electoral law .	T
Nekazaritzan  <word>gari</word> a , arto a , zekale a , ekilore a , kuiatxo a , patata , tipula , artatxiki a , kakahuete a , olo a , garagar ra , tomate a , meloi a eta angurri a hazten dira .	Indeed , the tenth-century Jewish scribe Menahem Ben Saruq wrote to the Khazar king `` The name of our land in which we dwell ... in the language of the Arabs , the inhabitants of the land , al-Andalus ... the land is rich , abounding in rivers , springs , and aqueducts ; a land of  <word>corn</word> , oil , and wine , of fruits and all manner of delicacies ; it has pleasure-gardens and orchards , fruitful trees of every kind , including ... the white mulberry upon which the silkworm feeds '' .	T
Garai horretan , Kupidoren ikonografiak bere boterearen iturria irudikatzen duten  <word>arkua</word> eta gezia bereganatu zituen : Kupidoren geziak pertsona bat edo , are , jainko bat harrapatzen duenean , kontrolatu ezineko desira batez betetzen du .	A range of weapons were used in Oceania . These included the woomera and boomerang in Australia , and the  <word>bow</word> in some parts of Melanesia and Polynesia . Nearly all Oceanic peoples had spears and clubs , although the Māori of New Zealand were unusual in having no distance weapons .	T
Marie Ennemond Camille Jordan ( Lyon , 1838 ko urtarrilaren 5 a - Paris , 1922 ko urtarrilaren 22 a ) Frantzia ko matematika ririk bikainenetakotzat jotzen zuten ; izan ere , aurkikuntza handiak egin zituen geometria eta  <word>analisi</word> arloetan .	Nikolai Bugaev was well known for his influential philosophical essays , in which he decried geometry and probability and trumpeted the virtues of hard  <word>analysis</word> . Despite—or because of—his father 's mathematical tastes , Boris Bugaev was fascinated by probability and particularly by entropy , a notion to which he frequently refers in works such as `` Kotik Letaev '' .	T
Italia n izan ondoren ( Lombardia , Erroma ) Espainia ra jo zuen , eta  <word>Leon</word> , Valladolid , Salamanca eta Segovia n lan egin zuen batez ere . Junirenak dira , besteak beste , zazpi irudiz osaturiko " Hilobiratze santua " ( Valladolideko Museoan ), Segoviako katedraleko erretaula nagusia ( 1571 ), Valladolideko San Benito elizakoa ( 1560 ), Medina de Riosecoko benaventetarren kapera eta eliza bereko Andre Maria Doloretakoaren irudia .	`` The Naked Pilgrim `` ( 2003 ) documents the journey of art critic and journalist Brian Sewell to Santiago de Compostela for the UK 's Channel Five . Travelling by car along the French route , he visited many towns and cities on the way including Paris , Chartres , Roncesvalles , Burgos ,  <word>León</word> and Frómista . Sewell , a lapsed Catholic , was moved by the stories of other pilgrims and by the sights he saw .	T
1899 eta 1900 . urteen artean , Dublingo Unibertsitateko John Joly jaunak ozeano ek , higadura prozesuen bidez ,  <word>gatza</word> metatzeko duten erritmoa kalkulatu zuen eta gure planetaren gainazalaren osagai nagusi diren ozeanoek , 80 eta 100 milioi urte artean eduki beharko lituzketela azpimarratu zuen .	There were also certain rare mineral resources that , because of limitations due to distance and prevalence , were also moved along these rudimentary trade networks that towards the end of the culture would begin to become more and more important to the survival of the members of this society . The most important of these minerals was  <word>salt</word> , which is critical for human existence . Indeed , the Cucuteni-Trypillia saltworks located at the brackish spring at Lunca , Neamţ County , Romania , may very well be the oldest in the world .	T
Gerturatzen ari zela , gurutze bat agertu zitzaion zeru urdinean , mairu en posizioa salatzen zuena , eta gurutzeari segika , segada egin zieten Aritzaren nafarrek musulmanei . Ustekabeko erasoa garaipen konpletoa izan zen , eta mairuen odol isuriak gorriz tindatu zuen Soto izeneko  <word>arroila</word> . Sobrarbeko bizilagun kristauek erregetzat hartu zuten Eneko Aritza orduan .	“ Parque Nacional del Chicamocha ” ( Chicamocha National Park or PANACHI ) is another Eco-tourist park located roughly 1 hour away from San Gil , placed on a scenic spot in the Chicamocha  <word>Canyon</word> .	T
Marc - André ter Stegen ( ahoskatua ; Mönchengladbach , Alemania , 1992 ko apirilaren 30a ) Ter Stegen bezala ezagunagoa , futbol jokalaria da , atezain moduan aritzen dena .  <word>Bartzelonan</word> jokatzen du 2014ko udatik , eta ordutik denboraldiz denboraldi hobetzen joanda , Alemaniako Selekzioan ere titular bihurtuz .	On 2 December , Cancelo scored his first goal Copa del Rey in a 3-1 victory over Barakaldo . Valencia was eliminated from the tournament after losing 8-1 on aggregate to  <word>Barcelona</word> . He also netted for the first time in the league the following 20 April to conclude a 4–0 win over Eibar at the Mestalla Stadium .	T
Nekazaritza , abelzaintza eta arrantzak Errumaniako BPG - ren % 3 , 3 ekartzen dute , biztanleria aktiboaren % 28 , 3 enplegatuz .  <word>Gari</word> a eta arto a lantzen dira ordokietan ( Valakia , Moldavia , Transilvania eta Dobruja ), fruta eta barazkiak Transilvaniako haranetan .	Cheez-It is a cheese cracker manufactured by the Kellogg Company through its Sunshine Biscuits division . Approximately , the square crackers are made with  <word>wheat</word> flour , vegetable oil , cheese made with skim milk , salt , and spice s .	T
GT Ligako 2018ko denboraldia Galiziako Traineruen Liga edo Ipar - mendebaldeko Traineruen Liga arraun lehiaketaren hamabosgarren denboraldia izan zen . Lehen eta bigarren mailako txapelketak ekainaren 16an hasi ziren Pontevedrako  <word>Baiona</word> herriko uretan eta abuztuaren 26an bukatu ziren Aresen , Coruñan .	Valdemoro soon became one of the most important municipalities in the Sistema Central mountain range , more so than Chinchón ,  <word>Bayona</word> , Villaconejos , Valdelaguna , Seseña , San Martín de la Vega and Ciempozuelos .	T
2009 an bere bizitzari buruzko "  <word>Bronson</word> " filma atera zuten . Garai hartan Bronsonek espetxeko agintariak harri eta zur utzi zituen , ustez isolatuta zegoen gelatik oharkabean filma estreinatzen zen zinemaldira honako bere ahotsez osatutako mezu hau ailegarazi baitzuen :	Jewel composed music for the films ``  <word>Bronson</word> `` ( 2008 ) and `` Drive `` ( 2011 ) , as well as the A & E crime drama series `` Those Who Kill `` ( 2014 ) . The Perfection ( 2018 ) .	T
1824 an Barbados  <word>elizbarruti</word> anglikano baten egoitza bihurtu zen . Hori dela medio Saint Michael parrokia ko eliza katedral bilakatu zen eta horren ondorioz " hiri " ( ingeles ez " City ") titulua eman zitzaion .	It is the principal  <word>see</word> of Slovenia ; one living former archbishop , Franc Rode , CM , was promoted to a Curial office ( Prefect of the Congregation for Institutes of Consecrated Life and Societies of Apostolic Life ) and made a Cardinal .	T
Uxmal Mexiko ko Yucataneko Penintsulako Puuc mendixkeetan aurkitzen den Maya hiria da . Uxmal enperadorearen gaztelua datu etnografiko eta alineamenduak nahastearen garrantziaren adibide bat bezala izan da erabilia . Lekua  <word>azimut</word> eta Cehtzuc - ko piramidearekin dago alineatua , 118º - etara .	Radio Frequency Optimization is a process through which different soft ( Cell Reselect Offset , BTS power ) and hard ( e.g . Electrical Tilt , Mechanical Tilt ,  <word>Azimuth</word> etc . ) parameters of the Base transceiver station s are changed in order to improve the coverage area and improve quality of signal .	T
Bertan hainbat hizkuntza mintzatzen dira , ingeles ofizialaz gainera , hala nola gaztelania , portuges a , Guyanako ingeles oinarriko  <word>kreolera</word> , hindi - urdu a eta jatorrizko herrien hizkuntzak ( wai - wai , arawak akawaio eta macushi ).	Loanwords from the Japanese language in Hawaii appear in various parts of the culture . Many loanwords in Hawaiian Pidgin ( or Hawaiian  <word>Creole</word> English ) derive from the Japanese language . The linguistic influences of the Japanese in Hawaii began with the first immigrants from Japan in 1868 and continues with the large Japanese American population in Hawaii today .	T
Garai honen hasieran hegoaldean Iberia r kontinentea zegoen eta delta eta zingira ugari sortu ziren Euskal Herritik hegoaldera . Errioxan  <word>dinosauro</word> lorratzak aurkitu dira garai honetan . Araba ko Gatzaga Buradon eta Urizaharra , herrietan mundu eremuko garrantzia duten anbar ustiategiak aurkitu dira .	<word>Dinosaur</word> fauna s of the Judithian age may represent the peak of dinosaur evolution in North America . Hadrosaurs were universally the dominant herbivore of the period and comprised more than half of `` a typical assemblage . ''	T
West End , , Eskozia ko  <word>Edinburgh</word> hiriburuaren erdigunean dagoen auzune edo eremua da . UNESCO erakundeak 1995 an Hiri Zaharra eta Hiri Berriarekin batera Gizateriaren Ondare izendatu zuen auzoaren zati handi bat , izenburuan adierazten ez bada ere .	The tribunals were set up by lawyer Faiz-ul-Aqtab Siddiqi and operate in London , Bradford , Manchester , Birmingham and Nuneaton . Two more were originally planned for Glasgow and  <word>Edinburgh</word> . Rulings can be enforced in England and Wales by both the County Courts and the High Court .	T
Phoenix zundak lortutako datuen arabera , Marteko lurzorua pixka bat alkalinoa da eta magnesio a , sodio a , potasio a eta kloro a bezalako elementuak ditu . Elikagai hauek Lurreko lurzoruan ere aurkitzen dira eta landareen hazkuntzarako beharrezkoak dira . Zundak egindako esperimentuen arabera Marteko lurzoruak 7 . 7ko pH basikoa du eta  <word>gatza</word> perklorato aren % 0 , 6 dauka .	Lapyrium , or lapirium , as the chloride  <word>salt</word> lapirium chloride ( INN ) or lapyrium chloride ( USAN ) , is a cationic surfactant that is used in personal care products as a biocide and antistatic agent .	T
Eozeno aren amaieraz geroztik ( duela 38 milioi urte ) eta Kuaternario aren hasiera bitartean aipatu mendikate hauetatik higatu eta bertara garraiatu ziren materialez ( buztin ,  <word>igeltsu</word> , hareharri , kareharri eta konglomeratu ez ) osaturik dago Bardea .	The economy of Gerlach focuses on tourism in the nearby Black Rock Desert , and hunting .  <word>Gypsum</word> mining was the historic staple of the local economy . Nearby Empire was a company town of the United States Gypsum Corporation ( USG ) until the plant closed on January 31 , 2011 , eliminating 95 jobs .	T
Santiago Ezquerro Marín , Ezquerro ( Calahorra , Errioxa , 1976 ko abenduaren 14 a ) futbol aurrelari profesional ohia da . Espainiako futbol ligako lehen maila n aritu zen Atletico Madril en ( 1996 - 98 ), RCD Mallorcan ( 1998 ), Athleticen ( 1999 - 2005 ),  <word>Bartzelonan</word> ( 2005 - 2008 ) eta Osasunan ( 2008 - 2009 ).	His goal also saw Liverpool break the competition 's record for the most goals scored in a single campaign , with the club 's tally of 46 surpassing the record of 45 previously held by  <word>Barcelona</word> .	T
Gerrako ministroak , kasu horietarako bereziki prestatuak zeuden Andaluzia ko unitate militarrak erabili ordez , hirugarren brigada mobilizatzea erabaki zuen ; honen barruan Kataluniako erreserbistak zeuden , bere kargura familia zuen langile jendeaz osatua . 6 . 000  <word>erreal</word> ordainduz gero erreklutatzetik libratzea zegoen , garai hartako langile normal batek egunean 10 erreal irabazten zituenean . Kazetari liberal batek Maurari aholkatu zionez , Espainian iraultzaren ondorioak jasatearen sinonimoa izango zen Marokora joatea .	In 1811 , a number of different denominations were issued , all of which were stamped with a crowned letter `` G '' . 10 sous coins were produced from  <word>Spanish</word> and Spanish colonial real , British 3 pence and French écu . 20 sous coins were produced from 1 real , 12 sous and 6 pence coins , and central plugs cut from Spanish dollars .	T
Lehen hizkuntza gisa erabiltzen da Frantzia n ( baita Ipar Euskal Herria n ere ), Kanada ko Quebec en zein Ontario eta New Brunswick en , Belgika n ( bereziki Valonia eta Brusela n ), Suitza ko mendebaldean ( Berna , Friburgo , Geneva ,  <word>Jura</word> , Neuchâtel , Vaud , Valais kantonamenduetan ), Monako , Ameriketako Estatu Batu etako eskualde batzuetan ( Louisiana , Maine , New Hampshire eta Vermont ), Luxenburgo ko eskualde batzuetan , Italia ko iparraldean ( Aostako Harana ) eta munduan zehar dauden hainbat komunitatetan .	Courgenay railway station ( ) is a railway station in the municipality of Courgenay , in the Swiss canton of  <word>Jura</word> . It is an intermediate stop on the Delémont–Delle line and is served by local and regional trains .	T
Galileok aurkitutako lau ilargiak ( Io ,  <word>Europa</word> , Ganimedes eta Kalisto ) Eguzki - sistemako sateliterik handienetakoak dira . Horietako hiruren orbitek ( Io , Europa eta Ganimedes ) Laplaceren erresonantzia dute euren artean ; Iok egiten dituen lau orbitako , Europak zehazki bi orbita egiten ditu eta Ganimedesek bakarra egiten du .	With Valentine 's Day approaching , Bender decides to start a computer dating service . Fry worries that his new relationship with Amy is becoming too serious , so he asks Leela to come with them on a picnic to  <word>Europa</word> they had planned . When she refuses , Fry asks Dr. Zoidberg to come with them .	T
Diseinua oso oinarrizkoa zen , Alemania ko MP - 28 metrailetaren ereduan oinarritua : kanoi a bere mekanismoarekin , metalezko kulata eta kargadore horizontala . Iskilu txikia zen , eta behin desmuntatua erraz ezkutatzen zen ; horrek  <word>Erresistentzia</word> ko kideentzat oso praktiko bihurtu zuen . Gerrillari ek STENak konpontzen eta egokitzen trebetasun handia garatu zuten .	Any residual suspicions that he was too close to the Germans were helpfully undermined on 9 June 1944 , very shortly before liberation , by the Gestapo who suspected him of helping the  <word>Résistance</word> and arrested him .	T
1940ko hamarkadaren amaieran eta 1950 eko hamarkadan , hainbat destruktore egin ziren Bigarren Mundu Gerrako esperientziak kontuan hartuta . Ontzi hauek hasierako destruktoreak baino handiagoak ziren eta guztiz automatizatutako kanoiekin , radar rekin ,  <word>sonar</word> rekin eta itsaspekoen aurkako Squid mortero berriarekin ekipatuak . Hauen artean , 1949ko Daring britaniar klasea , Forrest Sherman estatubatuarra eta Kotlin sobietar klasea .	Target Motion Analysis ( TMA ) is a process to determine the position of a target using passive sensor information . Sensors like passive `` RADAR `` and ``  <word>SONAR</word> `` provide directional and occasionally frequency information . TMA is done by marking from which direction the sound comes at different times , and comparing the motion with that of the operator 's own ship .	T
Geometria analitikoan , malda zuzen baten ekuazioan azaltzen da ; kasu partikular horretan , kurba baten zuzen ukitzaile a da malda . Zuzen ukitzaile hori  <word>funtzioaren</word> deribatu a da kontsideratutako puntuan eta parametro garrantzitsua da , adibidez , errepideen , burdinbide edo kanalen trazaketa altimetrikoetan .	The polynomial remainder theorem may be used to evaluate formula_27 by calculating the remainder , formula_28 . Although polynomial long division is more difficult than evaluating the  <word>function</word> itself , synthetic division is computationally easier . Thus , the function may be more `` cheaply '' evaluated using synthetic division and the polynomial remainder theorem .	T
