context1	context2	label
Uhrien määrät jäivät tuntemattomiksi . Pocahontasin vaiheista seuraava maininta on vuodelta 1613 , jolloin hän asui potowomackien kylässä  <word>Potomac</word> in varrella noin sadan kilometrin päässä Werowocomoconista . Kuningas Powhatan oli lähettänyt tyttärensä turvaan englantilaisilta , joiden huhuttiin suunnittelevan Pocahontasin sieppausta .	Sussman owned a two-acre farm in  <word>Potomac</word> and worked as an organic farmer . He pressed his own apple cider and raised goats for milk and yoghurt . His house was heated with wood that he cut .	T
Vetše (, tulee sanasta – совет eli neuvosto , valtuusto ) oli kansankokous slaavilaista alkuperää olevien  <word>heimojen</word> ja kansojen joukossa ennen varhaisfeodaalisen valtiojärjestelmän kehittymistä ja feodalismi n syventymistä muinaisella ja keskiaikaisella Venäjällä .	Khan was born to Pakistani and Pushto speaking parents and his ancestors were from Attock , Pakistan . He has stated he is from the Alizai  <word>tribe</word> . Khan is multilingual , and can speak English , Urdu , Hindi , Punjabi , Hindko and Pashto .	T
Albumi sisältää myös neljä bonuskappaletta , "  <word>Forbidden</word> "- albumin Japani n - versiossa alun perin julkaistun " Loser Gets It All " - kappaleen sekä kolme kappaletta vuosien 1983 – 1987 albumeilta " Born Again ", " Seventh Star " ja " The Eternal Idol ", vaikkakin ne julkaisi vielä Vertigo Records .	The album featured a guest vocal on `` Illusion of Power '' by Body Count vocalist Ice-T . The resulting ``  <word>Forbidden</word> `` was released on 8 June 1995 , but failed to chart in the U.S . The album was widely panned by critics ; AllMusic 's Bradley Torreano said `` with boring songs , awful production , and uninspired performances , this is easily avoidable for all but the most enthusiastic fan '' ; while `` Blender '' magazine called `` Forbidden '' `` an embarrassment ... the band 's worst album '' .	T
Irlanti ei koskaan ollut virallinen osa Rooman valtakunta a , mutta Rooman vaikutus levisi kuitenkin sen alueelle . Tacituksen mukaan maanpaossa oleva irlantilainen prinssi oli Gnaeus Julius Agricola n mukana  <word>Britanniassa</word> anastaakseen vallan Irlannissa . Juvenaliksen mukaan roomalaiset joukot vietiin Irlantiin .	All that remains today of it is Castle Mound or Marlborough Mound , a tree-covered earthworks mound , within the grounds of Marlborough College . Traces of Neolithic and  <word>Roman</word> occupation have been found in the vicinity of the mound . Parts of the keep and curtain wall have been identified by excavation and a Roman coin recovered .	T
Hollywood Tonight on toinen single yhdysvaltalaisen popartisti Michael ~ Jackson in postuumi albumilta  <word>Michael</word> . Jackson kirjoitti kappaleen tehdessään Invincible - albumia vuonna 2001 ja alkoi työstää kappaletta uudestaan vuonna 2007 tuottaja Theron " Neff - U " Feemsterin kanssa .	This is Jackson 's last known song before he died on June 25 , 2009 . Akon finished work on the song for Jackson 's posthumous album ,  <word>"Michael"</word> and it was released as a single in November 2010 .	T
Reconquista vietiin päätökseen kun Kastilian kuningatar  <word>Isabella</word> nousi valtaistuimelle 1474 ja meni naimisiin Aragonian kuningas Ferdinand in kanssa . Tästä tapahtumasta lasketaan alkavan yhtenäisen Espanja n kuningaskunnan historian . Granadan emiraatti oli 250 vuoden ajan ollut Kastilian vasallivaltio , joka maksoi veroa isännälleen .	However , Isabella demonstrated a superior political intelligence and clearly won the propaganda 's war around the result of the battle of Toro : during a religious ceremony at the Toledo 's cathedral ( 2 February 1477 ) ,  <word>Isabella</word> – who already had proclaimed herself Queen of Portugal – hung the military trophies taken from the Portuguese ( flags and the armour of the ensign ) at the tomb of her great grandfather Juan I , as a posthumous revenge for the terrible disaster of Aljubarrota .	T
Pistemutaatioita ovat transitiomutaatiot ja transversiomutaatiot . Edellisissä puriini emäs ( adeniini , guaniini ) vaihtuu toiseksi puriiniemäkseksi tai pyrimidiini emäs (  <word>tymiini</word> , sytosiini ) toiseksi pyrimidiiniemäkseksi , jälkimmäisissä puriiniemäs vaihtuu pyrimidiiniemäkseksi tai päinvastoin .	cDNA is commonly generated from mRNA for gene expression analyses such as RT-qPCR and RNA-seq . mRNA is selectively reverse transcribed using oligo ( d  <word>T</word> ) primers that are the reverse complement of the poly-adenylated tail on the 3 ' end of all mRNA . An optimized mixture of oligo ( dT ) and random hexamer primers increases the chance of obtaining full-length cDNA while reducing 5 ' or 3 ' bias .	T
Poliittinen järjestelmä on politiikan ja hallinnon järjestelmä , joka on usein tiiviissä yhteydessä oikeusjärjestelmä n , talousjärjestelmä n ,  <word>yhteiskuntajärjestelmä</word> n ja kulttuurijärjestelmä n kanssa . Poliittiseen järjestelmään kuuluu eri poliittisia instituutioita , kuten poliittista kirjoa edustavia puolueita .	Cultural topics include music , theology and the arts . Other topics covered include warfare , demography , education , agriculture , commerce , science , philosophy , and medicine providing a comprehensive picture of the complex and advanced political and  <word>social</word> structures of Byzantine society .	T
Stones siirtyi Evertoniin vuonna 2013 kasvattajaseurastaan Barnsleystä , arviolta noin kolmen miljoonan punnan siirtosummalla . Hänen vakuuttavat otteensa tulokaskaudellaan Valioliigassa herättivät maan suurseurojen , muun muassa  <word>Arsenal</word> in sekä Chelsean kiinnostuksen . Eurooppa - liiga ssa hän debytoi kaudella 2014 – 2015 .	After the war Rudkin played for Peterborough United in their pre-Football League days and joined First Division  <word>Arsenal</word> in January 1947 . He made five appearances for Arsenal during the 1946–47 season .	T
SABMillerin tunnettuja merkkejä ovat muun muassa Castle Lager , Miller Genuine Draft , Pilsner Urquell , Peroni , Nastro Azzurro , Grolsch , Snow , Tyskie ja Kozel . Oluen lisäksi yhtiö oli merkittävä toimija  <word>Coca-Cola</word> n pullottajana .	According to his obituary published in the `` New York Times `` , he played his entire Major League career using only one bat ( a 40-ouncer he dubbed `` Black Betsy . `` ) , which he kept in shape by rubbing with a  <word>Coke</word> bottle and seasoning with chewing tobacco .	T
Leiomyosarkooma on sileälihassoluista lähtöisin oleva syöpä . Se kuuluu pehmytkudossarkoomiin ja kattaa niistä 7 – 11 prosenttia . Leiomyosarkooma sijaitsee usein kohdun seinämässä ,  <word>raaja</word> ssa tai mahalaukussa . Leiomyosarkooma voi olla yksi Carneyn triadi in kuuluvista kasvaimista .	Dunnigan-type familial partial lipodystrophy , also known as FPLD Type II and abbreviated as ( FPLD2 ) , is a rare monogenic form of insulin resistance characterized by loss of subcutaneous fat from the  <word>extremities</word> , trunk , and gluteal region .	T
Tällainen ortokolmio on siten eräs kolmion sisäkolmio . Korkeusjanan kantapiste voi jäädä myös kolmion sivun jatkeelle eli kolmion ulkopuolelle , jolloin ortokolmio ei ole enää sisäkolmio . Kaikista sisäkolmioista ortokolmiolla on pienin  <word>piiri</word> .	The walls stretched to an estimated 3-5 kilometres in length . An inner moat `` ( foso ) '' surrounds the  <word>perimeter</word> of the wall and an outer moat `` ( contrafoso ) '' surrounds the walls that face the city .	T
Venäläisen yhteiskuntajärjestyksen omaleimaistuminen alkoi jo keskiajalla ennen 1100 - lukua , jolloin Kiovan Venäjä n ruhtinas  <word>Vladimir</word> ( 980 - 1015 ) valitsi kristillisen uskonnon Bysantista . Venäjän hidas länsimaistuminen pysähtyi kokonaan 1700 - luvulla Pietari Suuren kaudella ja kääntyi ylhäältä johdetuksi johtajakeskeisyydeksi .	Around in a circle Cyrillic inscription : ВЛАДИМИРѢ НА СТОЛѢ ( Vladimir on the throne ) . On two coins from known 11 , the inscription is different : ВЛАДИМИРѢ А СЕ ЕГО ЗЛАТО (  <word>Vladimir</word> and his gold ) .	T
Aalto syntyi Savonlinnassa , mutta varttui  <word>Joensuussa</word> . Hän valmistui ylioppilaaksi Joensuun lyseon lukiosta vuonna 2003 . Vuonna 2004 Aalto muutti Jyväskylään opiskelemaan valtio - oppia Jyväskylän yliopisto on . Hän valmistui yhteiskuntatieteiden kandidaatiksi vuonna 2008 .	Heikki Kirkinen ( 22 September 1927 in Kuusjärvi – 9 January 2018 ) was a Finnish historian who was professor of Finnish and European history at the University of Eastern Finland in  <word>Joensuu</word> , Finland .	T
Norman Granz myös äänitti monia JATP - konsertteja ja myi äänilevyjen julkaisuoikeuksia aluksi tuottaja Moses Aschin levymerkeille , sitten  <word>Mercury</word> - ja Clef - merkeille ja vuodesta 1956 Verve Records ille . 1970 - luvulla Granz piti JATP - henkeä yllä oman Pablo - levymerkkinsä suojissa .	The group signed with the  <word>Mercury</word> -distributed label Mr. Chand and issued a full-length , `` Gettin ' Over the Hump '' , in 1971 , which proved to be their only album ; however , the track `` Got ta Get Over the Hump '' became a hit single on the R & B charts , reaching # 29 on the Billboard Soul Singles chart .	T
Tanskan  <word>kruunu</word> kelluu kapeassa vaihteluvälissä euroon nähden , euroa vastustaneesta vuoden 2000 kansanäänestystuloksesta ( 53 % vastaan , 47 % puolesta ) huolimatta . Keskikurssi on 7 , 46038 kruunua / euro ja sallittu vaihteluväli Euroopan keskuspankin kanssa tehdyn sopimuksen mukaan ± 2 , 25 prosenttia .	Not only are students charged no tuition fees , but all Danish citizens ( and many others meeting certain criteria ) are offered monthly financial aid , known as `` '' SU '' '' ( `` Statens Uddannelsesstøtte '' , meaning `` State Educational Support '' ) , amounting for each student to about DKK 950 monthly if the student lives with his/her parents or guardians , and they have high incomes , and about  <word>DKK</word> 5,486 monthly if the student lives away from his/her parents or guardians .	T
Grampiansin kansallispuisto on Australia ssa ,  <word>Victoria</word> n länsiosassa vuoristossa sijaitseva kansallispuisto . Alue on saanut nimensä alueen vuoristosta , joka on nimeltään Grampiansvuoret . Tämä vuoristo on osa Australian Kordillieerien vuoristoketjua . Vuoristoon kuuluvia vuoria ovat Mount William ja Mount Abrupt .	Mildura Airport is located southwest of Mildura ,  <word>Victoria</word> , Australia . It is the busiest regional airport in Victoria , the 32nd busiest Australian airport and has twice been named Australia 's Rural Airport of the Year .	T
Rikillä taas on useita erilaisia allotrooppeja , esimerkiksi yksiatominen amorfinen rikki joka ei ole kiteisessä muodossa ; suuria  <word>kiteitä</word> muodostava kahdeksanatominen S , ja seitsemän - tai kaksitoista - atomiset S ja S jotka muodostavat rengasrakenteen .	The chandeliers that hang over the opera boxes are exactly the same chandeliers that hang in the Metropolitan Opera House in NYC . They were made in Austria from pure  <word>Crystal</word> .	T
San Francisco ssa Yhdysvalloissa raitiovaunu t liikkuvat katuun upotettujen vaijerien vetäminä . Siellä raitiovaunujen nousemat mäet ovat niin jyrkkiä , ettei vaunujen teräspyörien ja kiskojen välinen kitka riittäisi voimansiirtoon . Toisenlainen ratkaisu tähän olisi kiskojen väliin asennettu hammakisko , jolloin puhutaan  <word>hammasradasta</word> .	The Murray/Blenkinsop locomotives had the first double-acting cylinders and , unlike the Trevithick pattern , no flywheel . The cylinders drove a geared wheel which engaged with the  <word>rack</word> beside one rail . One of the geared locomotives was described as having two 8 '' x20 '' cylinders , driving the wheels through cranks .	T
Termillä " hypoteesi " on eri merkitys muodollisessa logiikassa , jossa sitä käytetään  <word>propositio</word> n edeltäjänä . Propositiossa " Jos P , sitten Q ", P kuvaa hypoteesia ( tai edeltäjää ) ja Q : ta voi kutsua seuraukseksi . P on olettamus ( mahdollisesti kontrafaktuaali sessa ) " Mitä jos " - kysymyksessä .	Concept s are the basic building blocks of theory and are abstract elements representing classes of phenomena . Axiom s or postulate s are basic assertions assumed to be true .  <word>Proposition</word> s are conclusions drawn about the relationships among concepts , based on analysis of axioms . Hypotheses are specified expectations about empirical reality derived from propositions .	T
Nykyisen satama - altaan paikalla oli 1500 - luvulta 1800 - luvulle saakka  <word>arsenaali</word> , josta se on nimensäkin saanut . Vahvistaakseen Pariisin kaupungin puolustuskykyä kruununprinssi Kaarle päätti vuonna 1356 rakentaa uuden puolustusmuurin kaksine vallihautoineen , jotka Frans I sittemmin yhdisti .	The group earned a second DUC in June for an attack on an industrial area of Shizuoka Prefecture , which included an aircraft factory operated by Mitsubishi and the Chigusa  <word>Arsenal</word> .	T
Siitä länteen on Washington Square ja sen vieressä Greenwich Village , joka tunnettiin aiemmin taiteilijoiden asuinalueena . Sen pohjoispuolella ovat  <word>Chelsea</word> , Gramercy ja Times Square , ” maailman risteys ”, joka on kehittynyt epäsiististä kadusta turistikeskukseksi .	Located in  <word>Chelsea</word> near Hell 's Kitchen Penn Station area , the building is a part of the Hudson Yards project , a plan to redevelop the Metropolitan Transportation Authority 's West Side Yards .	T
Tapahtumassa nähtiin myös World heavyweight Mestari n Triple H : n ja Kanen välinen tittelin yhdistmis matsi , minkä HHH voitti . Tapahtumassa julistettiin myös ensimmäiset WWE Tag Team Mestarit , missä ottelivat turnauksessa finaliin etenet joukkueet : Chris Benoit ja Kurt Angle vs . Rey Mysterio ja  <word>Edge</word> . Benoit ja Angle voittivat ja heistä tuli ensimmäiset WWE Tag Team Mestarit .	`` , which also ended in draw . Following the match ,  <word>Edge</word> took advantage and won the title from The Undertaker by cashing in his Money in the Bank contract . Afterward , Batista challenged Edge unsuccessfully for the World Heavyweight Championship at Judgment Day , One Night Stand ( in a Steel Cage Match ) , and ( in a Last Chance match ) .	T
Honor 3 on Huawein  <word>Honor</word> - tuoteperheeseen kuuluva kosketusnäytöllinen matkapuhelin . Puhelin maksoi reilut 230 euroa , kun se julkaistiin Kiinassa . Puhelimella on painoa 138 grammaa , kun mitat on 133 x 67 , 2 x 9 , 9 mm ja siinä on IP57 - vedenkestävyys .	The Honor 8 Pro is a smartphone made by Huawei under their  <word>Honor</word> sub-brand . It was introduced in April 2017 as a successor to the Huawei Honor 8 within the Huawei Honor series .	T
Richard Pearson toimii " Wonder Woman 1984 ": n leikkaajana . " Harry Potter " - elokuvien sekä "  <word>Life</word> n " parissa aiemmin työskennellyt John Moffatt toimii elokuvan visuaalisten efektien päävastaavana . Visuaalisten efektien toteutuksesta vastaa DNEG .	He has photographed `` Pan `` , `` The Accountant `` , `` Nocturnal Animals `` , ``  <word>Life</word> `` , `` The Greatest Showman `` , `` Greta `` , and `` Bad Times at the El Royale `` , and `` The Nevers `` .	T
Paikalliset aateliset nimittivät hänet Transilvanian prinssiksi . Muutamia kuukausia myöhemmin hänen joukkonsa saavuttivat Moldavia n ja sen pääkaupungin Suceava n . Moldavialainen hallitsija Ieremia Movilă pakeni  <word>Puolaan</word> ja Mihai julistettiin Moldavian prinssi ksi . Mihai hallitsi kolmea aluetta alle vuoden , kunnes Transilvanian aateliset ja Moldavialaiset pajarit käynnistivät kapinan .	In official Latin documents of the old  <word>Commonwealth</word> , the hereditary szlachta were referred to as `` '' nobilitas '' '' from the Latin term , and could be compared in legal status to English or British peers of the realm , or to the ancient Roman idea of `` cives '' , `` citizen '' .	T
Holograafinen periaate on  <word>säieteorioiden</word> ja oletettavasti myös kvanttigravitaatio n ominaisuus , jonka mukaan avaruuden tilavuuden voidaan ajatella olevan osa raja - aluetta . Se on todennäköisesti valonkaltainen raja kuten gravitaatiohorisontti . Hollantilainen fyysikko Gerardus ’ t Hooft esitti vuonna 1984 ensimmäisenä holografiaperiaatteen ja Leonard Susskind antoi sille tarkan säieteoreettisen tulkinnan yhdistellen omia ideoitaan ' t Hooftin ja Charles Thorn in aikaisempiin ideoihin .	Since classical general relativity and quantum mechanics seem to be incompatible at such energies , from a theoretical point of view , this situation is not tenable . One possible solution is to replace particles with  <word>strings</word> . String theories are quantum theories of gravity in the sense that they reduce to classical general relativity plus field theory at low energies , but are fully quantum mechanical , contain a graviton , and are thought to be mathematically consistent .	T
unioni eli  <word>yhdiste</word> . Joukkojen " A " ja " B " unioni ( merkitään " A " ∪ " B ") on kaikkien niiden alkioiden joukko , jotka kuuluvat joukkoon " A ", joukkoon " B " tai molempiin . Esimerkiksi joukkojen { 1 , 2 , 3 } ja { 2 , 3 , 4 } unioni on joukko { 1 , 2 , 3 , 4 }.	Such a surface can be viewed as the product of two circles . This means that the torus can be viewed as the  <word>union</word> of a collection of longitudinal circles ( such as the red circle in the image ) . There is an auxiliary space which says how these circles are organized , and this space is itself a circle ( the pink circle ) .	T
Hän on myös esiintynyt elokuvissa "  <word>Go</word> ", " The Wood – kulman kollit ", " Bestman ", " Pahuuden kartano " ( The House on Haunted Hill ), " Cake " ja " Chicago ".	It was first featured on the soundtrack to the movie  <word>Go</word> in April 1999 , then included on the album `` Rhythm and Stealth `` on 20 September 1999 and released as a single on 10 July 2000 on the Hard Hands record label , published by Chrysalis Music .	T
Identiteettimatriisin " i ": s sarake on yksikkövektori " e ". Nämä yksikkövektorit ovat identiteettimatriisin ominaisvektorit . Niitä vastaava ainoa ominaisarvo on 1 , jonka kertaluku " n × n " - identiteettimatriisilla on " n ". Myös " n × n " - identiteettimatriisin  <word>jälki</word> on " n ". Identiteettimatriisi on yksi binäärimatriiseista .	In mathematics , there are many kinds of inequalities involving matrices and linear operator s on Hilbert space s. This article covers some important operator inequalities connected with  <word>traces</word> of matrices .	T
