context1	context2	label
Juan de Fuca Boğazı (), Salish Denizi ' nin Pasifik Okyanusu ' ndaki çıkış noktası olan bir  <word>boğaz</word> dır . Yaklaşık 135 km uzunluğunda olup boğazın ortası Kanada ile ABD arasındaki uluslararası sınırı oluşturmaktadır .	Heather took a boat to and from school , as did Monte and Judy when they left the island . They used a small  <word>pass</word> located behind the house . However , after a few years , the pass had become too shallow due to sedimentation , so Monte purchased a small ATV to drive to the west side of the island where the family now docked their boats .	T
Yüksekliğin fazla olmasından dolayı başta Kaçkar Dağları olmak üzere üzerinde güncel buzullar bulunur . Dağların yüksekliği ulaşımı zorlaştırmaktadır . Yüksek  <word>geçit</word> lerden sağlanan ulaşım için tünel açma çalışmaları yapılmaktadır . 2023 m yüksekliğindeki Zigana Geçidi Doğu Karadeniz ' i iç kesimlere bağlar . Tarihi İpek Yolu ' nun da geçtiği geçit yerine yeni yapılan Zigana Tüneli kullanılmaktadır .	Mass tourism was decisively promoted by the scenic High Alpine Road ( `` Großglockner-Hochalpenstraße '' ) running from Heiligenblut to Bruck in Salzburg with a branch-off to the `` Franz-Josefs-Höhe '' viewpoint . It was built across the historic Hochtor  <word>Pass</word> of the Alpine divide between 1930 and 1935 according to plans designed by engineer Franz Wallack . The pass road , Austria 's highest , reaches , and is one of the most popular tourist attractions in the country ( second after Schönbrunn Palace ) with about 270,000 vehicles and 900,000 visitors every year , about 50 million since its opening .	T
İlk kez Mayıs 2017 ' de düzenlenen PSM Caz Festivali , bir veya birkaç ay süren ve touché başta olmak üzere PSM ' nin pek çok mekânında birkaç ay boyunca süren caz festivalidir . Ancak caz dışında blues , elektronik , dünya müziği , funk ,  <word>indie</word> , klasik müzik , pop ve rock müzik tarzları da festivalde yer bulur .	Power Pirate is an  <word>Independent</word> electronic rock band formed in Washington , D.C. in the Fall of 2007 . The band consists of singer and guitarist Emily Pakulski , keyboard player Michael Garate , and drummer Annika Monari .	T
İstanbul ' un işgaliyle Osmanlı İmparatorluğu savaştan çekilecek , Almanya bir müttefikini kaybedecek ve Rusya ile güvenli bir deniz ticaret ve ulaşım yolu açılmış olacaktı . 1915 yılının Şubat ve Mart aylarında  <word>Müttefik</word> donanmasının sahil top bataryalarını susturarak İstanbul ' a ulaşma çabaları , Türk sahil topçusu ve mayın hatları nedeniyle başarısız olmuştu . Bunun üzerine İngiltere ve Fransa yüksek komutanlıkları , Gelibolu Yarımadası ' nın amfibik bir harekâtla işgal edilmesine karar vermişlerdir .	In 1916 , the ships were sent to Greece to put pressure on the still-neutral government to join the war on the side of the  <word>Allies</word> . The French ultimately intervened in a coup that overthrew the Greek king and brought the country into the war .	T
Hero İbrahim Ahmed ( Soranice : ھێرۆ ئیبراھیم ئەحمەد , Arapça : هيرو إبراهيم أحمد ; d . 1948 ,  <word>Süleymaniye</word> ), Iraklı Kürt siyasetçi , yazar İbrahim Ahmed ' in kızı , Irak eski cumhurbaşkanı Celal Talabani ' nin eşi .	In 2002 , she founded the first women 's protection shelter providing refuge to victims of gender based violence and honor killing . She was appointed as the Director for Asuda , the first independent NGO to focus on violence against women in Iraq based in the city of  <word>Sulaymaniyah</word> . She has published several booklets and books in Kurdish including `` Consequences of violence against women '' .	T
İsviçre ekiplerinden Servette ' de futbol ' a balşayan oyuncu ardından  <word>Basel</word> ' e transfer oldu . 2006 ' da Ligue ~ 1 ekiplerinden FC Lorient ' e kiralık olarak gönderildi fakat forma şansı bulamadı . FC Aarau ' ya transfer olan oyuncu 2 sezon bu takım da görev aldı .	Hürzeler joined  <word>Basel</word> before the club 's 1925–26 season started . He played a total of 23 games for the team , in which he scored 17 goals . 15 of these games were in the Swiss Serie A , two in the Swiss Cup and six were friendly games .	T
Ülkedeki başlıca tarım ürünleri tütün , incir , zeytin , buğday ,  <word>mısır</word> , patates , sebze , meyve , şeker pancarı , üzüm , et , bal , süt ürünleri ve geleneksel tıp ve aromatik bitkilerdir .	The most important sources of the grain , mostly durum wheat , were  <word>Egypt</word> , North Africa ( 21st century Libya , Tunisia , Algeria , and Morocco ) , and Sicily .	T
Meksika Tamaulipas merkezli olan bu kartel 1930 ' larda  <word>Amerika</word> - Meksika sınır kartellerinin " godfather " ı Juan Nepomuceno Guerra tarafından kuruldu . Körfez Karteli başlangıçta ABD ' ye alkol ve eron gibi malları kaçırdı . Yasak dönemi sona erdiğinde , kumarhaneleri , fuhuş halkalarını , araba hırsızlığı ağını ve diğer yasa dışı kaçakçılıkları kontrol etti .	Gray Construction is an  <word>American</word> construction contractor based in Lexington , Kentucky . It was founded in 1960 by James Norris Gray and Lois Howard Gray in their hometown of Glasgow , Kentucky .	T
Verdiği edebî ürünlerinin biçimlenmesinde Klasik Yunan ve Roma mitolojisi nden ilham alan Salih Zeki , Türk edebiyatında " Nev - Yunanîlik " cereyanının temsilcisi olarak tanınmıştır . Fransızca ’ yı kendi olanakları ile öğrenen Salih Zeki ’ nin en önemli çevirisi Ovidius ’ un  <word>Metamorphoses</word> adlı eseridir .	It is a compilation of highly divergent material , arranged in a time running from the `` time before time '' to the aftermath of the Apocalypse .  <word>Metamorphosis</word> constitutes a dominant theme : against a background of cosmic transformation take place many sorts of changes in shape and content .	T
2001 ile 2006 yılları arasında " Mojo ", " Q ", " Uncut " ve " New Musical Express " dergilerinin editörlüğünü yaptı . The Beatles , U2 , Kurt Cobain , Oasis , punk rock ve  <word>mod</word> temalı dergiler yayımladı . Üç seri halinde yayımlanan , The Beatles ' ın konu alındığı " Mojo " dergisinin özel sayılarını editörlüğünü yaptı .	If the forecast density is symmetric ( normal or Student 's t , for instance ) , the fan centers at the mean ( which coincides with the  <word>mode</word> and median ) forecast , and the ranges expand like confidence interval s by adding and subtracting multiples of the forecasting standard error to the mean forecast .	T
Kudüs Yasası veya tam adıyla Temel Yasa : Kudüs , İsrail ' in Başkenti , 30 Temmuz 1980 ' de ( İbrani takvimi ne göre 17  <word>Av</word> 5740 ) İsrail Parlamentosu ( Knesset ) tarafından kabul edilmiştir ve Kudüs ' ün " bütün ve birleşik " olarak İsrail ' in başkenti olduğunu ileri sürer .	The Feast of the First Fruits of Wine is a holiday celebrated by the ancient Israelites as purported in the Temple Scroll of the Dead Sea Scrolls . The holiday , which is observed on the third day of the fifth month (  <word>Av</word> ) , is not mentioned in the Bible . The date is significant because it is exactly 50 days after the 15th of Sivan , the festival of Weeks .	T
Türk televizyonlarında 2015 yılında final bölümleriyle yayın hayatına veda eden Kara Para Aşk , Karadayı , Medcezir ve Beş Kardeş dizilerinin yapımcısı olan Kerem Çatay ; daha önceki yıllarda da Kurt Seyit ve Şura , Kuzey Güney , Fatmagül ’ ün Suçu Ne , Ezel , Aşk - ı ~ Memnu , Yaprak ~ Dökümü , İçerde gibi pek çok dizinin de yapımcılığına imza atmıştır . Kerem Çatay ’ ın 2004 yılından bu yana yapımcılığını yaptığı diziler Türk televizyonlarının yanı sıra  <word>Ortadoğu</word> , Balkanlar , Avrupa ve Amerika ’ da da gösterilmektedir .	Fulla ( ) is the name of an 11½ inch Barbie -like fashion doll marketed to children of Islam ic and  <word>Middle-Eastern</word> countries as an alternative to Barbie . The product 's concept evolved around 1999 , and it became available for sale in late 2003 .	T
Stock im Eisen ( Türkçe : " demirdeki değnek "), yüzyıllar boyunca iyi şans ve uğur getirdiği inancıyla üzerine çakılmış yüzlerce  <word>çivi</word> yi barındıran , Orta Çağ ' dan kalma bir ağaç gövdesidir . Ağaçtan bazen < nowiki >" Çivi Ağacı "</ nowiki > "( Nagelbaum ") olarak da bahsedilmektedir .	Wrede was recruited to lead Ab Dalsbruk in 1922 ; Dalsbruk produced basic ironware products , such as bar iron , chain and  <word>nails</word> . Finland was in economical upswing and Wrede started an investment programme .	T
Ekonomik eşitsizlik ifadesi gelir eşitsizliği , servet eşitsizliği , ya da zenginlik boşluğu olarak da ifade edilebilir . Ekonomistler genellikle ekonomik eşitsizliğe üç kriteri ölçü alarak yaklaşır : servet , gelir ve  <word>tüketim</word> . Ekonomik eşitsizlik sorunu eşitlik , eşitlik çıktısı , ve eşitlik fırsatı kavramları ile ilişkilidir .	UNDO issue 02 ``  <word>Consumption</word> `` : Special collaboration by Monica Peon , a Mexican graphic designer graduated in Design 2D by the Cranbrook Academy of Art in 1998 , she worked at the Studio Dumbar a design agency , established by Gert Dumbar in 1977 with base in The Netherlands .	T
